station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
166,36.32193,127.43795,dong-gu,13,0.139275362,1.471449275,1.020434783,25.33333333,8.260869565,1
167,36.32692,127.43491,dong-gu,14,0.091111111,1.289444444,2.301388889,-0.25,25.47222222,1
168,36.34101,127.43565,dong-gu,2,0.138823529,1.596078431,1.536666667,38.47058824,26.60784314,1
169,36.33638,127.43026,dong-gu,5,0.1596,1.814,2.4892,30.68,83.56,1
170,36.32284,127.42413,jung-gu,7,0.148333333,1.948913043,2.152355072,9.358695652,28.52173913,1
171,36.32361,127.42865,jung-gu,2,0.197714286,2.546,2.020857143,22.02857143,31.17142857,1
172,36.31328,127.434,jung-gu,6,0.192583942,2.168729927,1.308759124,31.86715328,27.5459854,1
173,36.35793,127.37708,seo-gu,34,0.087368421,1.28112782,1.785488722,6.368421053,1.781954887,1
174,36.30495,127.35299,seo-gu,15,0.177272727,1.830909091,1.082727273,31.27272727,5.636363636,1
184,36.35257,127.41554,daedeog-gu,3,0.170014859,1.740950966,1.037028232,6.338781575,55.4205052,1
191,36.32123,127.44496,dong-gu,8,0.143015873,1.518253968,1.07031746,24.50793651,7.031746032,1
192,36.31763,127.42572,jung-gu,2,0.17446281,1.830950413,1.675785124,30.98760331,16.52066116,1
193,36.30969,127.44199,jung-gu,2,0.160196078,1.49375817,0.703986928,11.69607843,1251.20915,1
194,36.30477,127.44931,jung-gu,1,0.126190476,1.396666667,1.120714286,23.5952381,6.785714286,1
196,36.37411,127.4203,daedeog-gu,2,0.241818182,3.088181818,2.760909091,32,13.54545455,1
197,36.32018,127.37767,seo-gu,20,0.264075342,3.06369863,1.255068493,31.06506849,21.81164384,1
198,36.31381,127.37964,seo-gu,7,0.248894737,3.033368421,1.371157895,31.22631579,20.69473684,1
208,36.37899,127.42678,daedeog-gu,3,0.20460177,2.797345133,3.292212389,31.7079646,12.23893805,1
218,36.31819,127.41697,jung-gu,4,0.172068966,1.832413793,1.622068966,31.31034483,34.13793103,1
221,36.34912,127.36835,seo-gu,7,0.255921053,3.114078947,1.178026316,30.85526316,30.26315789,1
222,36.34426,127.36801,seo-gu,21,0.25,3.097777778,1.573333333,30.94444444,38.94444444,1
224,36.30734,127.36403,seo-gu,2,0.175072464,1.811594203,1.478550725,31.36231884,11.55072464,1
51,36.34861,127.39868,seo-gu,45,0.16653051,2.083933561,3.08,19.94503849,7.314727687,2
48,36.34651,127.38513,seo-gu,79,0.195077137,2.308830378,3.5975,23.78370156,107.6209616,2
12,36.35793,127.38155,seo-gu,49,0.14785467,1.681506575,3.7125,18.29589612,847.9125758,2
68,36.34187,127.34488,yuseong-gu,42,0.358045723,2.833638151,1.155,35.3773353,24.17969518,2
206,36.33521,127.4565,dong-gu,21,0.129213483,1.507078652,1.27,31.01123596,44.03370787,2
75,36.36652,127.43036,daedeog-gu,15,0.196901655,2.711717172,3.603333333,31.65930135,9.517746914,2
8,36.36195,127.39043,seo-gu,37,0.179484127,1.998730159,2.465,26.75,96.48710317,2
104,36.37521,127.37812,yuseong-gu,33,0.150769909,1.746755603,3.395,27.46075346,333.944516,2
55,36.36245,127.34413,yuseong-gu,118,0.165019575,1.901449126,3.783333333,21.23300799,236.274437,2
109,36.34238,127.38767,seo-gu,28,0.166557154,2.177507586,4.223333333,24.0660232,301.8412735,2
10,36.36863,127.37975,seo-gu,56,0.138539129,1.551562774,1.296666667,9.993662925,50.5925006,2
46,36.34756,127.37725,seo-gu,47,0.185005467,2.160612499,4.3025,18.9414295,199.9790275,2
38,36.35456,127.35479,seo-gu,15,0.164955591,1.787313733,2.895,25.89648741,125.7895774,2
32,36.35929,127.3545,yuseong-gu,88,0.170155955,1.708381384,2.4175,18.55063629,547.8729062,2
59,36.35426,127.3415,yuseong-gu,63,0.180515742,1.88726514,3.24,25.82835309,143.7106714,2
58,36.35643,127.33112,yuseong-gu,18,0.224119692,2.070827642,3.485,26.06930958,20.45700296,2
187,36.34426,127.34731,yuseong-gu,25,0.266722089,2.27823033,1.3475,34.02959862,13.87293993,2
54,36.36503,127.33865,yuseong-gu,70,0.222801094,1.96240293,2.5375,27.81633952,22.30171623,2
111,36.33573,127.3966,seo-gu,17,0.132569804,1.569250824,3.2075,26.13975686,271.9960706,2
225,36.34893,127.45146,dong-gu,34,0.18229498,2.301116005,3.3125,16.7094533,20.27869662,2
139,36.32225,127.41146,jung-gu,18,0.244201073,2.775395765,2.37,27.45427694,251.5519078,2
57,36.35793,127.34279,yuseong-gu,64,0.185044078,1.966013322,2.77,24.92097433,131.5977976,2
4,36.36794,127.3793,seo-gu,34,0.138539129,1.551562774,1.296666667,9.993662925,50.5925006,2
45,36.35137,127.39831,seo-gu,49,0.143632953,1.827577329,2.753333333,17.19759323,44.96657521,2
203,36.36881,127.33689,yuseong-gu,27,0.231367052,1.920144581,1.496666667,30.70037327,12.95855419,2
173,36.35793,127.37708,seo-gu,19,0.139606937,1.64894266,3.845,20.10059534,700.0901112,2
108,36.33196,127.33793,yuseong-gu,71,0.173689046,1.876281805,2.005,29.50445439,11.47285745,2
23,36.36617,127.3639,yuseong-gu,45,0.278045182,2.408412726,3.2,21.0635499,372.6237027,2
29,36.36751,127.37516,seo-gu,35,0.106622222,1.477822222,3.64,18.81777778,482.2844444,2
146,36.31189,127.34687,seo-gu,11,0.171268454,1.841284641,1.903333333,29.9454157,11.249482,2
110,36.33757,127.39209,seo-gu,40,0.185138471,2.331275915,3.42,24.91500456,82.05078971,2
56,36.36174,127.34499,yuseong-gu,122,0.165019575,1.901449126,3.783333333,21.23300799,236.274437,2
30,36.36197,127.37923,seo-gu,77,0.182039211,1.969728517,2.903333333,22.88236061,201.6096348,2
73,36.36741,127.42974,daedeog-gu,15,0.196901655,2.711717172,3.603333333,31.65930135,9.517746914,2
26,36.37693,127.37875,yuseong-gu,11,0.134317597,1.649622318,3.84,24.03261803,657.8334764,2
105,36.36418,127.35885,yuseong-gu,94,0.211114809,2.119134775,3.19,30.66888519,467.2745424,2
14,36.35553,127.37915,seo-gu,68,0.163257608,1.80118725,3.603333333,15.6542597,563.3845856,2
33,36.35849,127.3612,seo-gu,81,0.255716174,2.160105268,3.213333333,12.88141017,475.0875861,2
16,36.35384,127.39524,seo-gu,27,0.098564994,1.310483229,2.203333333,11.84137709,127.636221,2
166,36.32193,127.43795,dong-gu,6,0.161870433,1.725628197,2.145,23.34202935,131.3755646,2
18,36.35111,127.38457,seo-gu,69,0.172808612,1.990772826,4.0175,22.2741516,43.67261296,2
17,36.35208,127.37876,seo-gu,105,0.189968153,2.031089985,3.876666667,16.31521673,141.3745821,2
113,36.32851,127.388,seo-gu,10,0.218000268,2.653460152,2.796666667,31.24819939,22.43605189,2
170,36.32284,127.42413,jung-gu,7,0.141704079,1.63540221,2.93,27.46282448,273.3480761,2
120,36.35309,127.43219,dong-gu,8,0.152488602,1.759988602,3.05,25.59612462,245.150076,2
36,36.35751,127.39652,seo-gu,27,0.119723647,1.588813479,2.943333333,15.54907407,96.83912037,2
20,36.35111,127.39175,seo-gu,27,0.131267592,1.592271751,3.35,13.19768338,73.66461309,2
19,36.35136,127.38755,seo-gu,86,0.152538746,1.797908877,3.5525,19.06274417,48.70240106,2
162,36.43158,127.38734,yuseong-gu,11,0.145853166,1.603891686,1.485,32.56762014,18.67265446,2
60,36.35321,127.34113,yuseong-gu,35,0.180515742,1.88726514,3.24,25.82835309,143.7106714,2
107,36.37077,127.36665,yuseong-gu,29,0.124105263,1.411368421,1.67,18.2,120.5894737,2
136,36.32565,127.42084,jung-gu,10,0.126458702,1.548706733,3.685,22.67787276,290.6044321,2
47,36.34845,127.38278,seo-gu,64,0.202270859,2.239266426,3.9375,21.49787144,31.59373671,2
177,36.30381,127.33717,seo-gu,17,0.326766705,3.503866726,0.9,39.87454251,37.64524731,2
39,36.35121,127.35193,seo-gu,7,0.239196861,2.190686957,3.085,23.63710383,110.5790548,2
